list_entry,reason,title,statutory_address
1306734,monument,"Shelter With Monument to Providence Chapel","SHELTER WITH MONUMENT TO PROVIDENCE CHAPEL"
1306770,headstone,"2 Arscott Headstones Approximately 1.5 Metres South of South Aisle Chapel of Church of St Mary","2 ARSCOTT HEADSTONES APPROXIMATELY 1.5 METRES SOUTH OF SOUTH AISLE CHAPEL OF CHURCH OF ST MARY"
1307900,monument,"Monument to the Reverend WH Hines and His Wife Ann, 10 Metres South of Chapel House","MONUMENT TO THE REVEREND WH HINES AND HIS WIFE ANN, 10 METRES SOUTH OF CHAPEL HOUSE, FORE STREET"
1308711,monument,"Monument Approximately 15 Metres North of North Wall of Great Bromley Church","MONUMENT APPROXIMATELY 15 METRES NORTH OF NORTH WALL OF GREAT BROMLEY CHURCH, BADLEY HALL ROAD"
1309109,headstone,"Group of 2 Gale and 1 Gaill Headstones About 16 Metres East of the South Chancel Chapel of the Church of St George","GROUP OF 2 GALE AND 1 GAILL HEADSTONES ABOUT 16 METRES EAST OF THE SOUTH CHANCEL CHAPEL OF THE CHURCH OF ST GEORGE"
1309619,headstone,"Headstone of Richard Geach 8.5 Metres to South of South Aisle of Egloshayle Church","HEADSTONE OF RICHARD GEACH 8.5 METRES TO SOUTH OF SOUTH AISLE OF EGLOSHAYLE CHURCH, EGLOSHAYLE ROAD"
1310762,monument,"Walkom Monument in the Churchyard About 40 Metres South East of South Chapel of Church of St Mary and St Julian","WALKOM MONUMENT IN THE CHURCHYARD ABOUT 40 METRES SOUTH EAST OF SOUTH CHAPEL OF CHURCH OF ST MARY AND ST JULIAN"
1311642,monument,"Allen Monument in the Burial Ground About One Metre South of Innis Bible Christian Chapel","ALLEN MONUMENT IN THE BURIAL GROUND ABOUT ONE METRE SOUTH OF INNIS BIBLE CHRISTIAN CHAPEL"
1311995,monument,"Monument to Elizabeth Phelps, in the Churchyard to South of All Saints' Church","MONUMENT TO ELIZABETH PHELPS, IN THE CHURCHYARD TO SOUTH OF ALL SAINTS&#x27; CHURCH, CHURCH ROAD"
1312499,churchyard_feature,"Stile and Mounting Steps in the Churchyard About 60 Metres East of the Chapel of Church of St Quiricus and St Julietta","STILE AND MOUNTING STEPS IN THE CHURCHYARD ABOUT 60 METRES EAST OF THE CHAPEL OF CHURCH OF ST QUIRICUS AND ST JULIETTA, CHURCH LANE"
1312773,telephone_kiosk,"K6 Telephone Kiosk East of Monks Lane and the Parish Church","K6 TELEPHONE KIOSK EAST OF MONKS LANE AND THE PARISH CHURCH, CHESTER ROAD"
1313537,gate_related,"Gates and Gatepiers to New Church","GATES AND GATEPIERS TO NEW CHURCH, LONG LANE"
1313658,wall_related,"Retaining Wall Gatepiers and Railings to Central Methodist Church","RETAINING WALL GATEPIERS AND RAILINGS TO CENTRAL METHODIST CHURCH, DAISY HILL"
1313709,gate_related,"Stocks Opposite Gates to St Peter's Church","STOCKS OPPOSITE GATES TO ST PETER&#x27;S CHURCH, CHURCH LANE"
1313983,wall_related,"Forecourt Wall and Gatepiers of Providence United Reformed Church","FORECOURT WALL AND GATEPIERS OF PROVIDENCE UNITED REFORMED CHURCH, HUDDERSFIELD ROAD"
1314674,telephone_kiosk,"K6 Telephone Kiosk in Front of Church","K6 TELEPHONE KIOSK IN FRONT OF CHURCH, SHREWSBURY ROAD"
1316257,churchyard_feature,"Churchyard Cross 10 Metres South of Tower of St Hilda's Church","CHURCHYARD CROSS 10 METRES SOUTH OF TOWER OF ST HILDA&#x27;S CHURCH"
1316340,churchyard_feature,"Cross Shaft at All Saints Churchyard Approximately 5 Metres to East of Church","CROSS SHAFT AT ALL SAINTS CHURCHYARD APPROXIMATELY 5 METRES TO EAST OF CHURCH, MAIN STREET"
1316687,monument,"Monument Adjacent to Exterior of East End of St Mary's Church","MONUMENT ADJACENT TO EXTERIOR OF EAST END OF ST MARY&#x27;S CHURCH, JACKSON&#x27;S WALK"
1318172,wall_related,"Mounting Block in Courtyard Wall of United Reformed Church","MOUNTING BLOCK IN COURTYARD WALL OF UNITED REFORMED CHURCH"
1318212,headstone,"Headstone of Elizabeth Stenlake 3 Metres to South of Nave of Parish Church","HEADSTONE OF ELIZABETH STENLAKE 3 METRES TO SOUTH OF NAVE OF PARISH CHURCH"
1318482,wall_related,"Garden Wall on West Side of the Drive, and Return on North Side of Lane to Church","GARDEN WALL ON WEST SIDE OF THE DRIVE, AND RETURN ON NORTH SIDE OF LANE TO CHURCH, GREAT DURNFORD"
1318837,monument,"Pollard Monument Approximately 2 Metres North of All Saints Church","POLLARD MONUMENT APPROXIMATELY 2 METRES NORTH OF ALL SAINTS CHURCH"
1320634,churchyard_feature,"Churchyard Cross, in the Churchyard and to the South of St Andrew's Church","CHURCHYARD CROSS, IN THE CHURCHYARD AND TO THE SOUTH OF ST ANDREW&#x27;S CHURCH, CHURCH LANE"
1320635,monument,"Monument to John Sperrin, in the Churchyard and to the South of St Andrew's Church","MONUMENT TO JOHN SPERRIN, IN THE CHURCHYARD AND TO THE SOUTH OF ST ANDREW&#x27;S CHURCH, CHURCH LANE"
1320638,churchyard_feature,"Churchyard Cross, in the Churchyard and to the South of St Bridget's Church","CHURCHYARD CROSS, IN THE CHURCHYARD AND TO THE SOUTH OF ST BRIDGET&#x27;S CHURCH, CHELVEY"
1320647,monument,"Unknown Monument in the Churchyard and to the West of St Michael's Church","UNKNOWN MONUMENT IN THE CHURCHYARD AND TO THE WEST OF ST MICHAEL&#x27;S CHURCH, FLAX BOURTON"
1320651,monument,"Monument to George Whiting, in the Churchyard to South of All Saints' Church","MONUMENT TO GEORGE WHITING, IN THE CHURCHYARD TO SOUTH OF ALL SAINTS&#x27; CHURCH, CHURCH ROAD"
1320652,monument,"Monument to John Howard, in the Churchyard to South of All Saints' Church","MONUMENT TO JOHN HOWARD, IN THE CHURCHYARD TO SOUTH OF ALL SAINTS&#x27; CHURCH, CHURCH ROAD"
1320670,monument,"Unknown Monument, in the Churchyard and 7 Yards South of the Porch of Holy Trinity Church","UNKNOWN MONUMENT, IN THE CHURCHYARD AND 7 YARDS SOUTH OF THE PORCH OF HOLY TRINITY CHURCH, CHURCH ROAD"
1320800,monument,"Monument to Day, to South of Porch of St Peter's Church","MONUMENT TO DAY,TO SOUTH OF PORCH OF ST PETER&#x27;S CHURCH"
1320810,churchyard_feature,"Gates, Gatepiers and Railings to the Churchyard of Holy Trinity Church","GATES, GATEPIERS AND RAILINGS TO THE CHURCHYARD OF HOLY TRINITY CHURCH"
1320988,churchyard_feature,"Churchyard Cross, in the Churchyard and to the South of All Saint's Church","CHURCHYARD CROSS, IN THE CHURCHYARD AND TO THE SOUTH OF ALL SAINT&#x27;S CHURCH, WRAXALL HILL"
1320990,monument,"Monument to James Miller, in the Churchyard to West of All Saints's Church","MONUMENT TO JAMES MILLER, IN THE CHURCHYARD TO WEST OF ALL SAINTS&#x27;S CHURCH, CHURCH ROAD"
1321011,monument,"Unknown Monument to North of Monument to James Miller in the Churchyard to West of All Saints' Church","UNKNOWN MONUMENT TO NORTH OF MONUMENT TO JAMES MILLER IN THE CHURCHYARD TO WEST OF ALL SAINTS&#x27; CHURCH, CHURCH ROAD"
1321012,churchyard_feature,"Churchyard Cross, in the Churchyard to South of All Saints' Church","CHURCHYARD CROSS, IN THE CHURCHYARD TO SOUTH OF ALL SAINTS&#x27; CHURCH, CHURCH ROAD"
1321035,monument,"Unidentified Monument, in the Churchyard and 5 Metres South of South Chapel of Church of St James","UNIDENTIFIED MONUMENT, IN THE CHURCHYARD AND 5 METRES SOUTH OF SOUTH CHAPEL OF CHURCH OF ST JAMES, STOWELL HILL"
1321176,churchyard_feature,"Walls Enclosing the Churchyard of St Leonard's Parish Church","WALLS ENCLOSING THE CHURCHYARD OF ST LEONARD&#x27;S PARISH CHURCH"
1321341,railings_related,"Railings Fronting Ceylon Baptist Church","RAILINGS FRONTING CEYLON BAPTIST CHURCH, WELLINGTON STREET"
1321562,monument,"Monument to Sir Robert Darling, 1 1/2 Metres From South East Corner of Chancel, St Nicholas Church","MONUMENT TO SIR ROBERT DARLING, 1 1/2 METRES FROM SOUTH EAST CORNER OF CHANCEL, ST NICHOLAS CHURCH, FELMERSHAM ROAD"
